Title,Company,Experience,Location,Skills,Summary
Counselor Cum Marketing Executive,MyCitySurat,0 to 1 Yr,Surat,"Skills :Counselling, good communication skill, computer knowledge, spoken english, enthusiastic",Candidate should be Graduate. Should have 0-1 Year Experience in same field. Should have positive attitude and ready to learn and work. Fresher can apply. Job Timing : 9:30am -
Customer Care Executive,MyCitySurat,1 Yrs,Surat,"Skills :good communication skill, computer knowledge, spoken english, enthusiastic, able to motivate others","Candidate should be HSC / Graduate. Should have 1 years of experience in same field. Job Timing : 10.00AM to 7.00PM. Salary : Upto Rs.10000/- PM + Incentive. ,"
Digital Marketing Executive,MyCitySurat,0 to 1 Yr,Surat,"Skills :php, seo, css, smo, html",Candidate should be Graduate. Must have knowledge of search engine optimization white hat techniques as well social media optimization. Must have knowledge of conversion optimization. Knowledge of social media marketing
"Digital Marketing Executive, Female",MyCitySurat,1 Yrs,Surat,"Skills :seo, marketing, analytics, social media, media marketing","Candidate should be Graduate. Should have minimum 1 year of experience in SEO on-page and off-page activities. Should have basic knowledge of Link Building, Google Analytics, Social Media Marketing, Creative"
DTP Operator,MyCitySurat,0 to 1 Yr,Surat,"Skills :c, Page Maker, draw, el draw, typing speed","Candidate should be Graduate. Should have good Typing speed in English and Gujarati. Should have experience in Corel Draw, Page Maker. Job Timing : 10:00am - 8:00pm. Salary : Upto"
DTP Operator,MyCitySurat,0 to 1 Yr,Surat,"Skills :photoshop, c, communication skills, eldraw","Candidate should be HSC or Above. Candidate should have knowledge of CorelDraw, Photoshop, Communication and Artistic Style. Experience is preferable. Job Timing : 10:00am - 8:00pm. Salary : Starting from"
E Commerce Manager,MyCitySurat,0 to 1 Yr,Surat,"Skills :excel, basic knowledge of computer, der processing","Candidate should be HSC / Graduate. Should have 6 months of experience in Listing, Order Processing. Should be powerful in MS Excel. Job timing : 9:00am - 6:00pm. Salary :"
E-Commerce Executive,MyCitySurat,1 to 2 Yrs,Surat,"Skills :der processing, Upload data, , der processing",Candidate should be Graduate. Should have 1 to 2 years of experience in same field. Should be able to Manage and Upload data and order processing. Job Timing : 11.00am
Godown Executive,MyCitySurat,0 to 1 Yr,Surat,"Skills :es, material management, hardw, king, St","Candidate should be HSC/ITI. Should be hardworking. Job Timing : 9:30am - 6:30pm. Salary : Rs. 8000/- PM. ,"
Graphic Designer,MyCitySurat,2 to 3 Yrs,Surat,"Skills :C, Photoshop, Indesign, elDraw, Illustrat","Candidate should be Graduate. Should have 2 to 3 years of experience as Graphic Designer. Must have knowledge of CorelDraw. Should be creative, specifically experience in Advertisement Agency is preferable."
Graphic Designer,MyCitySurat,1 Yrs,Surat,"Skills :photoshop, c, Indesign, eldraw, Illustrat","Candidate should be Graduate. Should have 1 Year Experience of Photoshop and CorelDraw. Job Timing : 10:00am - 7:00pm. Salary : Rs. 15000/- to 20000/- PM. ,"
Graphic Faculty,MyCitySurat,0 to 1 Yr,Surat,"Skills :Photoshop, Indesign, Drawing, Animation, Knowledge of C","Candidate should able to teach and explain concepts theoretically and practically. Should have knowledge of CorelDraw, Photoshop, Indesign, Illustrator, Drawing, Matt painting, Animation. Fresher can apply. Job Timing : 9:30am"
Hardware & Networking Executive,MyCitySurat,0 to 1 Yr,Surat,"Skills :Broadband line, Hardware, Netw, king knowledge","Candidate should be Graduate. Should have 6 months to 1 years of experience. Job Timing : 9.30AM to 6.30PM. Salary : Upto Rs.12000/-PM. ,"
Hardware Network Technician,MyCitySurat,1 to 2 Yrs,Surat,"Skills :Broadband line, Hardware, Netw, king knowledge","Candidate should be HSC/Graduate. Should have Broadband line, Hardware and Networking knowledge. Should have two wheeler and license. Job Timing : 9:30am - 7:30pm. Salary : Rs.14000/- to 17000/-PM +"
HTML Developer,MyCitySurat,1 Yrs,Surat,"Skills :Java Script, jQuery, AJAX, HTML, CSS","Candidate should be Graduate or Above (B.E. IT, B.Tech, M.Sc. IT, MCA, BCA, Other). Should have minimum 1 year of experience. Job Timing : 10:00am to 7:00pm. Salary : Upto"
Immigration Counselor,MyCitySurat,1 to 2 Yrs,Surat,"Skills :powerpoint, communication skills, w, d, excel english","Candidate should be Any Graduate. Should have 1-2 years of experience in same field. Must be fluent in English. Should be good looking, smart & confident. Should have good Personality"
IOS Developer,MyCitySurat,0 to 1 Yr,Surat,"Skills :ios, Java Script, jQuery, AJAX, it",Candidate should be Graduate or Above in IT field. Should have minimum 6 months or 1 year of experience as IOS Developer. Job Timing : 10.00AM to 7.00PM. Salary :
